institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
University of Northwestern Ohio,Lima,OH,Great Lakes,Private nonprofit,4-year,Associate,,,2494,0.3394,0.4414,44572,26266,13875,13875,0.5402,17084,45639,50968,33222,69979,0.742,0.335,40.762917,-84.157004
University of Northwestern-St Paul,Saint Paul,MN,Plains,Private nonprofit,4-year,Bachelor's,0.9347,1173,1442,0.1573,0.1643,69363,51325,37920,37920,0.6813,21325,47544,50755,31895,73634,0.696,0.42,45.033703,-93.167822
University of Notre Dame,Notre Dame,IN,Great Lakes,Private nonprofit,4-year,Bachelor's,0.1127,1520,8818,0.1374,0.1024,112232,83271,65025,65025,0.9517,19000,86210,99980,67690,141307,0.921,0.19,41.703058,-86.238959
University of Notre Dame -,Chicago,IL,Great Lakes,Private nonprofit,4-year,Not classified,,,,,0.1024,112232,,,,,19000,86210,99980,67690,141307,0.921,0.19,,
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,Southwest,Public,4-year,Bachelor's,,,1214,0.2861,0.2837,50976,,,,,20654,52216,63126,40536,92565,0.82,0.327,35.47928,-97.496289
University of Oklahoma-Norman Campus,Norman,OK,Southwest,Public,4-year,Bachelor's,0.766,1246,22734,0.2497,0.2837,50976,28872,9797,27377,0.7533,20654,52216,63126,40536,92565,0.82,0.327,35.209407,-97.444211
University of Oregon,Eugene,OR,Far West,Public,4-year,Bachelor's,0.883,1272,20497,0.2135,0.2845,51607,34793,16137,44598,0.7169,20139,46084,61324,36885,90526,0.768,0.328,44.045146,-123.075792
University of Pennsylvania,Philadelphia,PA,Mid East,Private nonprofit,4-year,Bachelor's,0.054,1553,10650,0.1653,0.1876,39832,89028,68686,68686,0.9654,15715,90555,111371,69735,183142,0.907,0.141,39.950929,-75.19391
University of Phoenix-Arizona,Phoenix,AZ,Southwest,Private for-profit,4-year,Bachelor's,,,85991,0.4981,0.5435,18602,19909,9552,9552,0.2084,31553,35359,37752,18569,59631,0.786,0.836,33.41128,-112.012761
University of Pikeville,Pikeville,KY,Southeast,Private nonprofit,4-year,Bachelor's,,,1135,0.3803,0.4482,23445,33420,24850,24850,0.4167,20679,34508,48231,32010,70429,0.577,0.429,37.479232,-82.521063
